id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
793,"IWC
Beobachtungsuhr \"Broad Arrow\" von ca 1943 - Leuchtzifferblatt","$6,331",IWC,N/A,N/A,N/A,N/A,N/A,1943 (Approximation),Good,Men's watch/Unisex,N/A,N/A,6331.0
23129,"Omega
Automatic De Ville Solid Rose Gold 18 k Cal 552 Original Gilt Dial","$3,409",Omega,N/A,166020,N/A,N/A,N/A,1968 (Approximation),Very good,Men's watch/Unisex,34 x 40 mm,N/A,3409.0
12826,"Longines Conquest
Chronograph Day Date Automatic Wristwatch Model 674-4943 with Box & Papers 1987","$2,411",Longines,Conquest,674-4943,Automatic,Steel,Steel,1987,Very good,Men's watch/Unisex,40 mm,N/A,2411.0
6371,"Omega Seamaster Aqua Terra
150m","$3,249",Omega,Seamaster Aqua Terra,220.10.28.60.51.001,N/A,N/A,N/A,2023,Unworn,Women's watch,28 mm,N/A,3249.0
2444,"Omega Constellation Ladies
123.50.31.20.55.002","$9,677",Omega,Constellation Ladies,123.50.31.20.55.002,N/A,N/A,N/A,2021,New,Women's watch,31 mm,N/A,9677.0
11204,"Patek Philippe Aquanaut
5968R","$217,500",Patek Philippe,Aquanaut,5968R,N/A,N/A,N/A,2023,New,Men's watch/Unisex,N/A,N/A,217500.0
63865,N/A,"$19,185",Rolex,Sea-Dweller Deepsea,116660,N/A,N/A,N/A,2015,N/A,N/A,44 mm,New,19185.0
31584,"Omega Seamaster
2285.80.00","$1,893",Omega,Seamaster,2285.80.00,Quartz,Steel,Steel,2002 (Approximation),Very good,Women's watch,28 mm,N/A,1893.0
10551,"TAG Heuer Formula 1 Quartz
Chronograph Box and Papers Boite et Papiers Fullset Limited Edition","$1,944",TAG Heuer,Formula 1 Quartz,CAZ101H.BA0842,Quartz,Steel,Steel,2022,Unworn,Men's watch/Unisex,43 mm,N/A,1944.0
14941,"Seiko
SARB 072","$1,496",Seiko,N/A,N/A,N/A,N/A,N/A,2010 (Approximation),Very good,Men's watch/Unisex,39 x 11 mm,N/A,1496.0
3471,"Breitling Chronomat
B01 AB0134101K1A1","$7,528",Breitling,Chronomat,AB0134101K1A1,Automatic,Steel,Steel,2023,Unworn,N/A,42 mm,N/A,7528.0
7501,"Omega De Ville
Swiss Limited Edition",$564,Omega,De Ville,N/A,N/A,N/A,N/A,Unknown,Good,Women's watch,N/A,N/A,564.0
5566,N/A,"$42,682",Rolex,Submariner Date,116618LB,N/A,Yellow gold,Yellow gold,2015,N/A,N/A,40 mm,Good,42682.0
14883,N/A,"$3,146",Rolex,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,Very good,3146.0
71482,N/A,Price on request,Rolex,Lady-Datejust,279171,N/A,Gold/Steel,Gold/Steel,2023,N/A,N/A,28 mm,New,0.0
9366,"TAG Heuer Formula 1 Lady
WAU2210 フォーミュラー1 デイト ダイヤモンド 自動巻き レディース 美品 750357 中古","$1,453",TAG Heuer,Formula 1 Lady,N/A,Automatic,Steel,Steel,Unknown,Good,Women's watch,34 mm,N/A,1453.0
37687,"Omega Speedmaster Racing
Chronograph White Dial Automatic 329.30.44.51.04.001","$7,395",Omega,Speedmaster Racing,329.30.44.51.04.001,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,44.25 mm,N/A,7395.0
2922,"Cartier Santos 100
XL Steel 38mm 2013 Box/Papers ref 2656 or W200737G","$5,653",Cartier,Santos 100,2656,Automatic,Steel,Leather,2013,Very good,Men's watch/Unisex,38 x 51 mm,N/A,5653.0
671,"Zenith Pilot Type 20 Extra Special
29.2430.4069/21.C800","$6,950",Zenith,Pilot Type 20 Extra Special,29.2430.4069/21.C800,N/A,N/A,N/A,2022,New,Men's watch/Unisex,45 mm,N/A,6950.0
6350,"Longines Conquest
Chronograph Ceramic L3.661.4 Neverworn","$1,249",Longines,Conquest,L3.661.4,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,41 mm,N/A,1249.0
6810,"IWC Portofino Hand-Wound
Eight Days Ref. IW510116 NEW 2021 ITALIA Full set","$10,245",IWC,Portofino Hand-Wound,IW510116,N/A,N/A,N/A,2021,New,Men's watch/Unisex,45 mm,N/A,10245.0
29439,N/A,"$25,392",Rolex,Lady-Datejust Pearlmaster,80318,N/A,N/A,N/A,2005,N/A,N/A,29 x 34.5 mm,Very good,25392.0
2646,"Seiko Prospex
Black Gold \"Turtle\" Diver Scuba Automatic Watch SRPD46J1 With 1 year warranty",$452,Seiko,Prospex,N/A,Automatic,Steel,Silicon,2019 (Approximation),New,Men's watch/Unisex,45 mm,N/A,452.0
14820,"Omega
333 Chrono Pulsometer","$7,411",Omega,N/A,N/A,N/A,N/A,N/A,1948 (Approximation),Good,Men's watch/Unisex,36 mm,N/A,7411.0
1961,"Audemars Piguet Royal Oak Selfwinding
15551BC.ZZ.1356BC.02","$218,954",Audemars Piguet,Royal Oak Selfwinding,N/A,N/A,N/A,N/A,2023,New,Men's watch/Unisex,37 mm,N/A,218954.0
3198,"Jaeger-LeCoultre Master Compressor
146.8.97","$5,291",Jaeger-LeCoultre,Master Compressor,146.8.97,N/A,N/A,N/A,2004 (Approximation),Good,Men's watch/Unisex,41 mm,N/A,5291.0
8343,"IWC
Timezoner Le Petit Prince Edition","$13,813",IWC,N/A,IW395503,N/A,N/A,N/A,2021,Very good,Men's watch/Unisex,46 mm,N/A,13813.0
56450,N/A,"$37,285",Rolex,Daytona,116500LN,N/A,N/A,N/A,2018,N/A,N/A,40 mm,Very good,37285.0
8896,"TAG Heuer Link Lady
WJF1312 リンク デイト クォーツ レディース 美品 保証書付き_756290 中古",$655,TAG Heuer,Link Lady,N/A,Quartz,Steel,Steel,Unknown,Good,Women's watch,27 mm,N/A,655.0
